크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
2020년 9월 15일,서초동,페리카나-서초동점,lo**님,2020년 9월 15일,반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨)),양이 적은거 같아요,4,2,4,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/f40f4297e0ce9237313a18b196f4ec17_tn.jpg
2020년 9월 15일,서초동,페리카나-서초동점,il**님,2020년 9월 15일,순살양념 치킨/1,배달도 빠르고 맛나요~,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 9월 15일,서초동,페리카나-서초동점,zi**님,2020년 9월 15일,반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨)),바삭바삭하고ㅈ질리지않는 양념이매력적이내요,4,4,4,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 9월 11일,서초동,페리카나-서초동점,jh**님,2020년 9월 11일,1세트（순살양념＋순살후라이드＋콜라 1.25L）/1,맛있게 잘 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/5ab5c50e5dfc048658198c781978cf18_tn.jpg
2020년 9월 11일,서초동,페리카나-서초동점,ro**님,2020년 9월 11일,순살떡양념치킨/1,"순살떡양념치킨은 지난 세월동안, 내가 왜 다른 치킨을 먹었을까? 하는 후회가 드는 JMT임다",5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 9월 10일,서초동,페리카나-서초동점,id**님,2020년 9월 10일,"B세트（후라이드＋양념치킨＋콜라 1.25L）/1,생맥주 1000cc/1",맛도 좋고 빠른 배송,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 9월 10일,서초동,페리카나-서초동점,le**님,2020년 9월 10일,반반（후라이드 반＋양념 반）/1(치킨 선택(순살 치킨)),양념이 맛있어요 자주 시켜먹을듯,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 9월 10일,서초동,페리카나-서초동점,dj**님,2020년 9월 10일,B세트（후라이드＋양념치킨＋콜라 1.25L）/1,페리카나 맛나요♡♡,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/cc45029f23c502f48ce1402c3654d033_tn.jpg
2020년 9월 9일,서초동,페리카나-서초동점,hy**님,2020년 9월 9일,순살양념 치킨/1,맛있었어요! 잘 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/3d0ea8d7e1905aba8a49957f5430fec8_tn.jpg
2020년 9월 8일,서초동,페리카나-서초동점,cy**님,2020년 9월 8일,양념 치킨/1(사이드 추가 선택(페리치즈볼 5개 추가)),맛있어요 앞으론 여기 찜입니다,5,3,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/688883bad943efc1da8bfd6b23daf06f_tn.jpg
2020년 9월 6일,서초동,페리카나-서초동점,di**님,2020년 9월 6일,"반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨),사이드 추가 선택(떡사리 추가))",평균 이상.무난했어요.,4,4,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 9월 6일,서초동,페리카나-서초동점,wi**님,2020년 9월 6일,"순살마늘 치킨/1(사이드 추가 선택(무 추가,콜라 1.25L 변경)),진로 이즈백/1",정말 빨리 배달되고 생각대로 맛있어요^^,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2020년 9월 3일,서초동,페리카나-서초동점,mo**님,2020년 9월 3일,반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨)),여전히맛이납니다 많이파세요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
