time,지역,가게이름,아이디,주문내용,댓글,맛,양,배달,사진주소,sajang,ko_text,token_review,tagging,Noun,Adverb,Number,Verb,Adjective
2021년 08월 25일,권선동,교촌치킨-매교점,mi**님,교촌윙/1,오랜만에 시켜 먹은 치킨.역시 치킨은 교촌이네요. 온 가족이 맛나게 먹었어요. 먹는거에 정신없어서 사진 찍는걸 깜빡했네요.맛나요! 맛나~~~,5,5,5,https://rev-static.yogiyo.co.kr/d5eb6edfd1646bfde67da4d3cba46edd_tn.jpg,사장님 답글이 없어요 ,오랜만에 시켜 먹은 치킨역시 치킨은 교촌이네요 온 가족이 맛나게 먹었어요 먹는거에 정신없어서 사진 찍는걸 깜빡했네요맛나요 맛나,"['오랜', '만', '에', '시켜', '먹은', '치킨', '역시', '치킨', '은', '교촌', '이네', '요', '온', '가족', '이', '맛', '나게', '먹었어요', '먹는거에', '정신', '없어서', '사진', '찍는걸', '깜빡', '했네요', '맛', '나', '요', '맛', '나']","[('오랜', 'Modifier'), ('만', 'Noun'), ('에', 'Josa'), ('시켜', 'Verb'), ('먹은', 'Verb'), ('치킨', 'Noun'), ('역시', 'Noun'), ('치킨', 'Noun'), ('은', 'Josa'), ('교촌', 'Noun'), ('이네', 'Josa'), ('요', 'Noun'), ('온', 'Noun'), ('가족', 'Noun'), ('이', 'Josa'), ('맛', 'Noun'), ('나게', 'Verb'), ('먹었어요', 'Verb'), ('먹는거에', 'Verb'), ('정신', 'Noun'), ('없어서', 'Adjective'), ('사진', 'Noun'), ('찍는걸', 'Verb'), ('깜빡', 'Noun'), ('했네요', 'Verb'), ('맛', 'Noun'), ('나', 'Josa'), ('요', 'Noun'), ('맛', 'Noun'), ('나', 'Josa')]","['만', '치킨', '역시', '치킨', '교촌', '요', '온', '가족', '맛', '정신', '사진', '깜빡', '맛', '요', '맛']",,,",시켜,먹은,나게,먹었어요,먹는거에,찍는걸,했네요",",없어서"
2021년 08월 25일,권선동,교촌치킨-매교점,du**님,교촌콤보/1,교촌 치킨 너무 맛있어~~울 꼬멩이 몸무게는 줄지가 않네요 ㅎㅎ,5,5,5,https://rev-static.yogiyo.co.kr/35f8f66720f527f0e51f9834744cdcdd_tn.jpg,사장님 답글이 없어요 ,교촌 치킨 너무 맛있어울 꼬멩이 몸무게는 줄지가 않네요 ㅎㅎ,"['교촌', '치킨', '너무', '맛있어울', '꼬멩', '이', '몸무게', '는', '줄지가', '않네요', 'ㅎㅎ']","[('교촌', 'Noun'), ('치킨', 'Noun'), ('너무', 'Adverb'), ('맛있어울', 'Adjective'), ('꼬멩', 'Noun'), ('이', 'Josa'), ('몸무게', 'Noun'), ('는', 'Josa'), ('줄지가', 'Verb'), ('않네요', 'Verb'), ('ㅎㅎ', 'KoreanParticle')]","['교촌', '치킨', '꼬멩', '몸무게']",",너무",,",줄지가,않네요",",맛있어울"
2021년 08월 25일,권선동,교촌치킨-매교점,js**님,"교촌순살[S]（간장）/1,쫀드칸꽈배기（시나몬슈가）/1,발사믹크림디핑소스/1,레드디핑소스/1",맛있게 잘 먹었습니다,5,5,5,https://rev-static.yogiyo.co.kr/9048f1d6ce7ca74519a55086735a18fd_tn.jpg,사장님 답글이 없어요 ,맛있게 잘 먹었습니다,"['맛있게', '잘', '먹었습니다']","[('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb')]",[],,,",잘,먹었습니다",",맛있게"
2021년 08월 24일,권선동,교촌치킨-매교점,nk**님,교촌오리지날/1(사이드 메뉴(선택안함)),항상 잘시켜먹고 있네요~,5,5,5,https://rev-static.yogiyo.co.kr/f2390a3501b947b7ec283728ce02d0c8_tn.jpg,사장님 답글이 없어요 ,항상 잘시켜먹고 있네요,"['항상', '잘', '시켜', '먹고', '있네요']","[('항상', 'Noun'), ('잘', 'VerbPrefix'), ('시켜', 'Verb'), ('먹고', 'Verb'), ('있네요', 'Adjective')]",['항상'],,,",시켜,먹고",",있네요"
2021년 08월 24일,권선동,교촌치킨-매교점,ph**님,"교촌콤보/1(사이드 메뉴(선택안함)),교촌웨지감자/1",교촌은 항상 매교에서만 시켜먹는거 같네요.진짜 맛있었어요~,5,5,5,https://rev-static.yogiyo.co.kr/719a84c6f1ce488834c6c96d4e31aa85_tn.jpg,사장님 답글이 없어요 ,교촌은 항상 매교에서만 시켜먹는거 같네요진짜 맛있었어요,"['교촌', '은', '항상', '매', '교', '에서만', '시켜', '먹는거', '같네요', '진짜', '맛있었어요']","[('교촌', 'Noun'), ('은', 'Josa'), ('항상', 'Noun'), ('매', 'Modifier'), ('교', 'Noun'), ('에서만', 'Josa'), ('시켜', 'Verb'), ('먹는거', 'Verb'), ('같네요', 'Adjective'), ('진짜', 'Noun'), ('맛있었어요', 'Adjective')]","['교촌', '항상', '교', '진짜']",,,",시켜,먹는거",",같네요,맛있었어요"
2021년 08월 23일,권선동,교촌치킨-매교점,ch**님,교촌허니콤보/1(사이드 메뉴(쫀드칸꽈배기（콘치즈）)),다른집보다 양도많구 배달도 금방왔어요어떤집은 작은 봉만 넣어주는데 여긴 큼지막한 다리 줘서 너무좋아요~,5,5,5,https://rev-static.yogiyo.co.kr/6416002bcab719b53cc4c5c1deb20f61_tn.jpg,사장님 답글이 없어요 ,다른집보다 양도많구 배달도 금방왔어요어떤집은 작은 봉만 넣어주는데 여긴 큼지막한 다리 줘서 너무좋아요,"['다른', '집', '보다', '양도', '많구', '배달', '도', '금방', '왔어요', '어떤', '집', '은', '작은', '봉', '만', '넣어주는데', '여긴', '큼지막한', '다리', '줘서', '너무', '좋아요']","[('다른', 'Modifier'), ('집', 'Noun'), ('보다', 'Josa'), ('양도', 'Noun'), ('많구', 'Adjective'), ('배달', 'Noun'), ('도', 'Josa'), ('금방', 'Noun'), ('왔어요', 'Verb'), ('어떤', 'Modifier'), ('집', 'Noun'), ('은', 'Josa'), ('작은', 'Adjective'), ('봉', 'Noun'), ('만', 'Josa'), ('넣어주는데', 'Verb'), ('여긴', 'Verb'), ('큼지막한', 'Adjective'), ('다리', 'Noun'), ('줘서', 'Verb'), ('너무', 'Adverb'), ('좋아요', 'Adjective')]","['집', '양도', '배달', '금방', '집', '봉', '다리']",",너무",,",왔어요,넣어주는데,여긴,줘서",",많구,작은,큼지막한,좋아요"
2021년 08월 23일,권선동,교촌치킨-매교점,be**님,교촌반반콤보/1,젓가락 요청했는대 안주셔서.... 손으로...,4,4,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,젓가락 요청했는대 안주셔서 손으로,"['젓가락', '요청', '했는대', '안', '주셔서', '손', '으로']","[('젓가락', 'Noun'), ('요청', 'Noun'), ('했는대', 'Verb'), ('안', 'VerbPrefix'), ('주셔서', 'Verb'), ('손', 'Noun'), ('으로', 'Josa')]","['젓가락', '요청', '손']",,,",했는대,주셔서",
2021년 08월 23일,권선동,교촌치킨-매교점,db**님,"교촌리얼후라이드순살/1,교촌신화순살/1",후라이드가 정말 고소해서 그런지 맛있었습니당~~^^,4,4,5,https://rev-static.yogiyo.co.kr/4a4851c12cbcfdcf752c180b2b1849ab_tn.jpg,사장님 답글이 없어요 ,후라이드가 정말 고소해서 그런지 맛있었습니당,"['후라이드', '가', '정말', '고소해서', '그런지', '맛있었', '습', '니당']","[('후라이드', 'Noun'), ('가', 'Josa'), ('정말', 'Noun'), ('고소해서', 'Adjective'), ('그런지', 'Adjective'), ('맛있었', 'Adjective'), ('습', 'Noun'), ('니당', 'Verb')]","['후라이드', '정말', '습']",,,",니당",",고소해서,그런지,맛있었"
2021년 08월 23일,권선동,교촌치킨-매교점,dk**님,교촌허니콤보/1,ㄹㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,ㄹㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,['ㄹㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ'],"[('ㄹㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ', 'KoreanParticle')]",[],,,,
2021년 08월 23일,권선동,교촌치킨-매교점,ke**님,"교촌허니순살[R]/1(사이드 메뉴(교촌칠리포테이토)),쫀드칸꽈배기（시나몬슈가）/1,칩카사바/1",칩카사바:꼬북칩 양념과 흡사.식감은 포테토칩.궁금해서 시켜봤어요.ㅎ꽈배기는 작은듯하지만.찹쌀처럼 쫀득한 식감.배달시간50분걸렸고.스티커로 잘 밀봉되어있어서 좋았어요.,5,5,5,https://rev-static.yogiyo.co.kr/7a666dbf78d2b3df107b0779120cbb1e_tn.jpg,사장님 답글이 없어요 ,칩카사바꼬북칩 양념과 흡사식감은 포테토칩궁금해서 시켜봤어요ㅎ꽈배기는 작은듯하지만찹쌀처럼 쫀득한 식감배달시간분걸렸고스티커로 잘 밀봉되어있어서 좋았어요,"['칩', '카사바', '꼬북칩', '양념', '과', '흡사', '식', '감은', '포테토칩', '궁금해서', '시켜', '봤어요', 'ㅎ', '꽈배기', '는', '작은듯', '하지만', '찹쌀', '처럼', '쫀득', '한', '식감', '배달', '시간', '분', '걸렸고', '스티커', '로', '잘', '밀봉', '되어있어서', '좋았어요']","[('칩', 'Noun'), ('카사바', 'Noun'), ('꼬북칩', 'Noun'), ('양념', 'Noun'), ('과', 'Josa'), ('흡사', 'Noun'), ('식', 'Suffix'), ('감은', 'Verb'), ('포테토칩', 'Noun'), ('궁금해서', 'Adjective'), ('시켜', 'Verb'), ('봤어요', 'Verb'), ('ㅎ', 'KoreanParticle'), ('꽈배기', 'Noun'), ('는', 'Josa'), ('작은듯', 'Adjective'), ('하지만', 'Conjunction'), ('찹쌀', 'Noun'), ('처럼', 'Josa'), ('쫀득', 'Noun'), ('한', 'Josa'), ('식감', 'Noun'), ('배달', 'Noun'), ('시간', 'Noun'), ('분', 'Suffix'), ('걸렸고', 'Verb'), ('스티커', 'Noun'), ('로', 'Josa'), ('잘', 'Verb'), ('밀봉', 'Noun'), ('되어있어서', 'Verb'), ('좋았어요', 'Adjective')]","['칩', '카사바', '꼬북칩', '양념', '흡사', '포테토칩', '꽈배기', '찹쌀', '쫀득', '식감', '배달', '시간', '스티커', '밀봉']",,,",감은,시켜,봤어요,걸렸고,잘,되어있어서",",궁금해서,작은듯,좋았어요"
