크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
2021년 6월 24일,권선동,코리엔탈깻잎두마리치킨-권선점,jh**님,2021년 6월 24일,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(（NEW）로제퀸치킨))",감튀 치킨 모두 맛있었습니다,5,5,5,고객님 감사합니다맛있게 드셨다니 기쁩니다맛있게 드시고 건강하세요요즘 비가와서 덥고 찝찝하고 습하네요ㅜ낮에는 더워서 진이빠지구요그래도 정성스런 음식으로 위안이될수있었으면 좋겠습니다여름이라 위생에 더욱신경쓰고있습니다찾아주셔서 감사해요오늘도 힘찬하루보내길 바래요,https://rev-static.yogiyo.co.kr/6189b032253fabec1c9aece68e84e958_tn.jpg
2021년 6월 24일,권선동,코리엔탈깻잎두마리치킨-권선점,ho**님,2021년 6월 24일,"두마리 2가지맛 선택/1(치킨선택1(（BEST）수원 왕갈비치킨),치킨선택2(까르보나라),사이드추가(치킨무 추가),음료추가(음료 1.25L 변경))",처음시켯는데 너무 만족햇어요~,5,5,5,고객님 감사합니다첫주문이 만족해주시니 너무너무 기쁩니다요즘 비가와서 덥고 찝찝하고 습하네요ㅜ낮에는 더워서 진이빠지구요그래도 정성스런 음식으로 위안이될수있었으면 좋겠습니다여름이라 위생에 더욱신경쓰고있습니다찾아주셔서 감사해요오늘도 힘찬하루보내길 바래요,https://rev-static.yogiyo.co.kr/ef37fdfd8c28442616d8fa6d124290da_tn.jpg
2021년 6월 24일,권선동,코리엔탈깻잎두마리치킨-권선점,wj**님,2021년 6월 24일,"한마리 1가지맛 선택/1(치킨선택1(핫스파이스),음료추가(음료 1.25L 변경))",맛있게 잘 먹었습니다,5,5,5,고객님 감사합니다요즘 비가와서 덥고 찝찝하고 습하네요ㅜ낮에는 더워서 진이빠지구요그래도 정성스런 음식으로 위안이될수있었으면 좋겠습니다여름이라 위생에 더욱신경쓰고있습니다찾아주셔서 감사해요오늘도 힘찬하루보내길 바래요,이미지는 없어요
2021년 6월 23일,권선동,코리엔탈깻잎두마리치킨-권선점,so**님,2021년 6월 23일,"두마리 3가지맛 선택/1(치킨선택1(슈프림 양념),치킨선택2(파닭 양념),치킨선택3(간장),사이드추가(바삭대게튀김 4개))",치킨 양도 괜찮고 맛도 좋았음리뷰이벤트로 춘권 시켜는 데 이도저도 아닌맛이었음..치즈볼 시키는것을 추천,5,5,5,고객님 감사합니다치즈볼이 조금 부드럽고 혀를 자극하는맛이라면춘권은 담백하고 바싹한 군만두의 느낌이죠사실 저도 치즈볼이더ㅎㅎㅎ사람입맛은 비슷한가봐요요즘 비가와서 덥고 찝찝하고 습하네요ㅜ낮에는 더워서 진이빠지구요그래도 정성스런 음식으로 위안이될수있었으면 좋겠습니다여름이라 위생에 더욱신경쓰고있습니다찾아주셔서 감사해요오늘도 힘찬하루보내길 바래요,https://rev-static.yogiyo.co.kr/267f496b922f5ada2a755436c31613e9_tn.jpg
2021년 6월 23일,권선동,코리엔탈깻잎두마리치킨-권선점,mb**님,2021년 6월 23일,"한마리 1가지맛 선택/1(치킨선택1(파닭 양념),음료추가(음료 1.25L 변경))",ㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋ,5,5,5,고객님 감사합니다좋은 의미의 웃음이겠죠ㅎㅎ요즘 비가와서 덥고 찝찝하고 습하네요ㅜ낮에는 더워서 진이빠지구요그래도 정성스런 음식으로 위안이될수있었으면 좋겠습니다여름이라 위생에 더욱신경쓰고있습니다찾아주셔서 감사해요오늘도 힘찬하루보내길 바래요,이미지는 없어요
2021년 6월 23일,권선동,코리엔탈깻잎두마리치킨-권선점,le**님,2021년 6월 23일,"두마리 3가지맛 선택/1(치킨선택1(후라이드),치킨선택2(（BEST）수원 왕갈비치킨),치킨선택3(（인기）양념),음료추가(음료 1.25L 변경))",맛있고 깔끔합니다감자튀김도 눅지지 않고 맛있어요,5,5,5,고객님 감사합니다맛있게 드시고 건강하세요요즘 비가와서 덥고 찝찝하고 습하네요ㅜ낮에는 더워서 진이빠지구요그래도 정성스런 음식으로 위안이될수있었으면 좋겠습니다여름이라 위생에 더욱신경쓰고있습니다찾아주셔서 감사해요오늘도 힘찬하루보내길 바래요,https://rev-static.yogiyo.co.kr/6ce565e0600e551751b0aa10818db8ed_tn.jpg
2021년 6월 23일,권선동,코리엔탈깻잎두마리치킨-권선점,ne**님,2021년 6월 23일,"두마리 2가지맛 선택/1(치킨선택1(（추천）눈꽃스윗치즈),치킨선택2(슈프림 불마왕치킨))",매울때 다른맛먹음 넘맛있구 매운거 좋아하면 딱인것같아요넘맛있어요ㅠㅠ,5,5,5,고객님 감사합니다맵다가 중하시키고 맵다가 중하시키고메뉴선택이 혀를 괴롭게하네요 ㅎㅎㅎㅎ요즘 비가와서 덥고 찝찝하고 습하네요ㅜ낮에는 더워서 진이빠지구요그래도 정성스런 음식으로 위안이될수있었으면 좋겠습니다여름이라 위생에 더욱신경쓰고있습니다찾아주셔서 감사해요오늘도 힘찬하루보내길 바래요,https://rev-static.yogiyo.co.kr/c77cac43c9f059a19ba70a4647131f6d_tn.jpg
2021년 6월 22일,권선동,코리엔탈깻잎두마리치킨-권선점,ka**님,2021년 6월 22일,"두마리 2가지맛 선택/1(치킨선택1(（NEW）로제퀸치킨),치킨선택2(핫스파이스))",굳굳,5,5,5,고객님 감사합니다요즘 비가와서 덥고 찝찝하고 습하네요ㅜ낮에는 더워서 진이빠지구요그래도 정성스런 음식으로 위안이될수있었으면 좋겠습니다여름이라 위생에 더욱신경쓰고있습니다찾아주셔서 감사해요오늘도 힘찬하루보내길 바래요,https://rev-static.yogiyo.co.kr/5244547d718dc0e37466fab7fa1efda5_tn.jpg
2021년 6월 22일,권선동,코리엔탈깻잎두마리치킨-권선점,sk**님,2021년 6월 22일,"두마리 3가지맛 선택/1(치킨선택1(불마왕치킨),치킨선택2(（추천）눈꽃스윗치즈),치킨선택3(후라이드))",양도 많고 맛있어요👍,5,5,5,고객님 감사합니다맛있게드셨다니 행복합니다메뉴선택이 최고십니다맵고 부드럽고ㅎㅎ요즘 비가와서 덥고 찝찝하고 습하네요ㅜ낮에는 더워서 진이빠지구요그래도 정성스런 음식으로 위안이될수있었으면 좋겠습니다여름이라 위생에 더욱신경쓰고있습니다찾아주셔서 감사해요오늘도 힘찬하루보내길 바래요,https://rev-static.yogiyo.co.kr/a305ca7828f5362cff5579b19bed606d_tn.jpg
2021년 6월 20일,권선동,코리엔탈깻잎두마리치킨-권선점,gh**님,2021년 6월 20일,"두마리 2가지맛 선택/1(치킨선택1(（NEW）치즈킹치킨),치킨선택2(（BEST）수원 왕갈비치킨))",양많아요 치즈볼 맛있고,5,5,5,감사합니다 고객님맛있게드시고 건강하세요요즘 비가와서 덥고 찝찝하고 습하네요ㅜ낮에는 더워서 진이빠지구요그래도 정성스런 음식으로 위안이될수있었으면 좋겠습니다여름이라 위생에 더욱신경쓰고있습니다찾아주셔서 감사해요오늘도 힘찬하루보내길 바래요,https://rev-static.yogiyo.co.kr/1846751080820fced490a1d6901ebfa8_tn.jpg
2021년 6월 20일,권선동,코리엔탈깻잎두마리치킨-권선점,gk**님,2021년 6월 20일,"두마리 2가지맛 선택/1(치킨선택1(고추쏘핫),치킨선택2(（NEW）치즈킹치킨))",서비스로오난 감튀 맛있었고 청양고추 들어간 치킨맛 맛쵸킹치킨보다 훨 맛있네요 순살이라좋아욤,5,5,5,고객님 감사합니다감튀가 본사에서 총번 바뀌었는데갈수록 좋아지네요맛있게 드셨다니 기쁩니다여름이 다가오는 날씨에 위생에 더욱 신경 쓰고있습니다습하고 더워 지친맘과몸이 맛있는 음식으로 기분만큼은최고가 될수있게 최선을 다하겠습니다오늘하루도 수고많으셨어요맛있게 드시고 건강하세요,https://rev-static.yogiyo.co.kr/56b32fe5b707397ab12e2117defe1824_tn.jpg
2021년 6월 20일,권선동,코리엔탈깻잎두마리치킨-권선점,jg**님,2021년 6월 20일,"두마리 2가지맛 선택/1(치킨선택1(불마왕치킨),치킨선택2(파닭 후라이드))",맛있게 먹었습니다~,5,5,5,고객님 감사합니다맛있게 드셔주셔서 기쁩니다여름이 다가오는 날씨에 위생에 더욱 신경 쓰고있습니다습하고 더워 지친맘과몸이 맛있는 음식으로 기분만큼은최고가 될수있게 최선을 다하겠습니다오늘하루도 수고많으셨어요맛있게 드시고 건강하세요,이미지는 없어요
2021년 6월 20일,권선동,코리엔탈깻잎두마리치킨-권선점,ke**님,2021년 6월 20일,"치킨（선택）＋볶음밥＋춘권/1(치킨선택1(（NEW）로제퀸치킨),볶음밥선택(김치볶음밥)),라이스 치즈볼 8개/1",맛있습니당!! 치즈볼짱,5,5,5,고객님 감사합니다라이스치즈볼크기는 일반치즈볼보다 조금작지만맛은 배 라는거맛잇게 드셔주셔서 감사합니다여름이 다가오는 날씨에 위생에 더욱 신경 쓰고있습니다습하고 더워 지친맘과몸이 맛있는 음식으로 기분만큼은최고가 될수있게 최선을 다하겠습니다오늘하루도 수고많으셨어요맛있게 드시고 건강하세요,이미지는 없어요
2021년 6월 19일,권선동,코리엔탈깻잎두마리치킨-권선점,01**님,2021년 6월 19일,"두마리 2가지맛 선택/1(치킨선택1(（추천）눈꽃스윗치즈),치킨선택2(슈프림 고추쏘핫))",말할게있나요 ㅠㅠ 당근 맛있어요!!!!!!!! ㅋㅋㅋㅋ개눈감추듯 맥주랑 먹고 뻗어서 이제야 씁니당🙏🏻푸짐하게 넘 잘 먹었습니다~^0^,5,5,5,고객님 감사합니다캬아치맥이라니요즘 여름이라 좀 참고 있었는데 저두 오늘은 치맥 갑니다여름이 다가오는 날씨에 위생에 더욱 신경 쓰고있습니다습하고 더워 지친맘과몸이 맛있는 음식으로 기분만큼은최고가 될수있게 최선을 다하겠습니다오늘하루도 수고많으셨어요맛있게 드시고 건강하세요,https://rev-static.yogiyo.co.kr/095f099e326e1e785d69301ed2a793fd_tn.jpg
2021년 6월 19일,권선동,코리엔탈깻잎두마리치킨-권선점,hy**님,2021년 6월 19일,"두마리 3가지맛 선택/1(치킨선택1(후라이드),치킨선택2(슈프림 간장),치킨선택3(（인기）양념)),국물떡볶이（보통맛）/1",맛있게 잘 먹었습니다.,5,5,5,고객님 감사합니다후라이드를 떡볶이 국물에 척찍어 드시면 더욱 맛있게 드실수있어요맛있게 드셔주셔서 고맙습니다여름이 다가오는 날씨에 위생에 더욱 신경 쓰고있습니다습하고 더워 지친맘과몸이 맛있는 음식으로 기분만큼은최고가 될수있게 최선을 다하겠습니다오늘하루도 수고많으셨어요맛있게 드시고 건강하세요,https://rev-static.yogiyo.co.kr/a531057667b2bbfc3772006ef0cf891d_tn.jpg
